experiment_id,repo_commit,contract_id,canon_id,model,decoding_temperature,runs,timestamp,R_raw,R_anchor_pre,R_anchor_post,Delta_rescue,R_repair_at_0.05_pre,R_repair_at_0.1_pre,R_repair_at_0.15_pre,R_repair_at_0.2_pre,R_repair_at_0.05_post,R_repair_at_0.1_post,R_repair_at_0.15_post,R_repair_at_0.2_post,mean_distance_pre,std_distance_pre,mean_distance_post,std_distance_post,Delta_mu,Delta_P_tau_0.05,Delta_P_tau_0.1,Delta_P_tau_0.15,Delta_P_tau_0.2,canon_coverage,rescue_rate,R_behavioral,R_structural,sweep_id,notes
balanced_brackets_temp0.0_20251023_145259,unknown,balanced_brackets,unknown,gpt-4,0.0,10,2025-10-23T14:52:59.956358,0.900,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
balanced_brackets_temp0.2_20251023_145322,unknown,balanced_brackets,unknown,gpt-4,0.2,10,2025-10-23T14:53:22.264138,0.200,0.300,1.000,0.700,0.300,0.300,0.900,1.000,1.000,1.000,1.000,1.000,0.089,0.063,0.000,0.000,0.089,0.700,0.700,0.100,0.000,1.000,1.000,1.000,1.000,,
balanced_brackets_temp0.3_20251023_145345,unknown,balanced_brackets,unknown,gpt-4,0.3,10,2025-10-23T14:53:45.226046,0.300,0.400,1.000,0.600,0.400,0.400,1.000,1.000,1.000,1.000,1.000,1.000,0.077,0.064,0.000,0.000,0.077,0.600,0.600,0.000,0.000,1.000,1.000,1.000,1.000,,
balanced_brackets_temp0.5_20251023_145407,unknown,balanced_brackets,unknown,gpt-4,0.5,10,2025-10-23T14:54:07.450765,0.200,0.200,0.800,0.600,0.200,0.300,0.700,1.000,0.800,1.000,1.000,1.000,0.115,0.065,0.019,0.038,0.096,0.600,0.700,0.300,0.000,1.000,0.750,1.000,0.800,,
balanced_brackets_temp0.7_20251023_145426,unknown,balanced_brackets,unknown,gpt-4,0.7,10,2025-10-23T14:54:26.792517,0.300,0.300,0.800,0.500,0.300,0.300,0.700,1.000,0.800,1.000,1.000,1.000,0.104,0.071,0.019,0.038,0.085,0.500,0.700,0.300,0.000,1.000,0.714,1.000,0.800,,
