run_id,sample_id,before_signature,after_signature,d_before,d_after,steps,success,reason,normalization_version,oracle_version,timestamp
anchor_fib_v1_90b1d0c2,sample_f0580483,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,e4c7d166c2dbf96621870f77c5fb3366e0591cbc0fbbefd8d5c0b53722124a48,1.0,1.0,1,False,repair_incomplete_missing_required_recursion,,,2025-09-26T17:46:19.206809
anchor_fib_v1_90b1d0c2,sample_f0580483,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,1.0,0,False,repair_not_performed,,,2025-09-26T17:46:19.210742
anchor_fib_v1_90b1d0c2,sample_f0580483,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,e4c7d166c2dbf96621870f77c5fb3366e0591cbc0fbbefd8d5c0b53722124a48,1.0,1.0,1,False,repair_incomplete_missing_required_recursion,,,2025-09-26T17:46:21.516132
anchor_fib_v1_90b1d0c2,sample_f0580483,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,1.0,0,False,repair_not_performed,,,2025-09-26T17:46:21.522558
anchor_fib_v1_90b1d0c2,sample_f0580483,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,e4c7d166c2dbf96621870f77c5fb3366e0591cbc0fbbefd8d5c0b53722124a48,1.0,1.0,1,False,repair_incomplete_missing_required_recursion,,,2025-09-26T17:46:23.871318
anchor_fib_v1_90b1d0c2,sample_f0580483,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,1.0,0,False,repair_not_performed,,,2025-09-26T17:46:23.875693
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,e4c7d166c2dbf96621870f77c5fb3366e0591cbc0fbbefd8d5c0b53722124a48,1.0,1.0,1,False,repair_incomplete_missing_required_recursion,,,2025-09-26T17:48:05.436231
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,1.0,0,False,repair_not_performed,,,2025-09-26T17:48:05.442076
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,e4c7d166c2dbf96621870f77c5fb3366e0591cbc0fbbefd8d5c0b53722124a48,1.0,1.0,1,False,repair_incomplete_missing_required_recursion,,,2025-09-26T17:48:07.329460
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,1.0,0,False,repair_not_performed,,,2025-09-26T17:48:07.334256
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,e4c7d166c2dbf96621870f77c5fb3366e0591cbc0fbbefd8d5c0b53722124a48,1.0,1.0,1,False,repair_incomplete_missing_required_recursion,,,2025-09-26T17:48:09.464076
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,1.0,0,False,repair_not_performed,,,2025-09-26T17:48:09.468860
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,e4c7d166c2dbf96621870f77c5fb3366e0591cbc0fbbefd8d5c0b53722124a48,1.0,1.0,1,False,repair_incomplete_missing_required_recursion,,,2025-09-26T17:48:11.629209
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,1.0,0,False,repair_not_performed,,,2025-09-26T17:48:11.634439
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,e4c7d166c2dbf96621870f77c5fb3366e0591cbc0fbbefd8d5c0b53722124a48,1.0,1.0,1,False,repair_incomplete_missing_required_recursion,,,2025-09-26T17:48:13.743318
anchor_fib_v1_f81ac474,sample_212eff4c,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,c0df3ef80a865d53ab531f67205432669d149d931337140e86beb4a0c07e0477,1.0,1.0,0,False,repair_not_performed,,,2025-09-26T17:48:13.748320
