contract,model_claude,R_raw_claude,R_anchor_pre_claude,R_anchor_post_claude,Delta_rescue_claude,R_behavioral_claude,R_structural_claude,agent_mode_claude,agents_enabled_claude,model_gpt,R_raw_gpt,R_anchor_pre_gpt,R_anchor_post_gpt,Delta_rescue_gpt,R_behavioral_gpt,R_structural_gpt,agent_mode_gpt,agents_enabled_gpt
factorial,claude-sonnet-4-5-20250929,1.0,1.0,1.0,0.0,1.0,1.0,unknown,False,gpt-4o-mini,1.0,1.0,1.0,0.0,1.0,1.0,unknown,False
factorial,claude-sonnet-4-5-20250929,1.0,0.0,0.0,0.0,1.0,1.0,unknown,False,gpt-4o-mini,1.0,1.0,1.0,0.0,1.0,1.0,unknown,False
factorial,claude-sonnet-4-5-20250929,0.9,0.0,0.0,0.0,1.0,0.9,unknown,False,gpt-4o-mini,1.0,1.0,1.0,0.0,1.0,1.0,unknown,False
factorial,claude-sonnet-4-5-20250929,0.6666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666,enhanced,True,gpt-4o-mini,1.0,1.0,1.0,0.0,1.0,1.0,unknown,False
