experiment_id,repo_commit,contract_id,canon_id,model,decoding_temperature,runs,timestamp,R_raw,R_anchor_pre,R_anchor_post,Delta_rescue,R_repair_at_0.05_pre,R_repair_at_0.1_pre,R_repair_at_0.15_pre,R_repair_at_0.2_pre,R_repair_at_0.05_post,R_repair_at_0.1_post,R_repair_at_0.15_post,R_repair_at_0.2_post,mean_distance_pre,std_distance_pre,mean_distance_post,std_distance_post,Delta_mu,Delta_P_tau_0.05,Delta_P_tau_0.1,Delta_P_tau_0.15,Delta_P_tau_0.2,canon_coverage,rescue_rate,R_behavioral,R_structural,sweep_id,notes
binary_search_temp0.0_20251023_145758,unknown,binary_search,unknown,gpt-4,0.0,10,2025-10-23T14:57:58.821584,0.600,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
binary_search_temp0.2_20251023_145823,unknown,binary_search,unknown,gpt-4,0.2,10,2025-10-23T14:58:23.332447,0.400,0.600,0.600,0.000,0.600,0.600,0.600,1.000,0.600,0.600,0.600,1.000,0.067,0.082,0.067,0.082,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.600,,
binary_search_temp0.3_20251023_145850,unknown,binary_search,unknown,gpt-4,0.3,10,2025-10-23T14:58:50.497312,0.300,0.800,0.800,0.000,0.800,0.800,0.800,1.000,0.800,0.800,0.800,1.000,0.033,0.067,0.033,0.067,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.800,,
binary_search_temp0.5_20251023_145918,unknown,binary_search,unknown,gpt-4,0.5,10,2025-10-23T14:59:18.222458,0.500,0.400,0.400,0.000,0.400,0.400,0.400,1.000,0.400,0.400,0.400,1.000,0.100,0.082,0.100,0.082,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.600,,
binary_search_temp0.7_20251023_145947,unknown,binary_search,unknown,gpt-4,0.7,10,2025-10-23T14:59:47.500981,0.400,0.700,0.700,0.000,0.700,0.700,0.700,1.000,0.700,0.700,0.700,1.000,0.050,0.076,0.050,0.076,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.700,,
