experiment_id,repo_commit,contract_id,canon_id,model,decoding_temperature,runs,timestamp,R_raw,R_anchor_pre,R_anchor_post,Delta_rescue,R_repair_at_0.05_pre,R_repair_at_0.1_pre,R_repair_at_0.15_pre,R_repair_at_0.2_pre,R_repair_at_0.05_post,R_repair_at_0.1_post,R_repair_at_0.15_post,R_repair_at_0.2_post,mean_distance_pre,std_distance_pre,mean_distance_post,std_distance_post,Delta_mu,Delta_P_tau_0.05,Delta_P_tau_0.1,Delta_P_tau_0.15,Delta_P_tau_0.2,canon_coverage,rescue_rate,R_behavioral,R_structural,sweep_id,notes
fibonacci_basic_temp0.0_20251023_145038,unknown,fibonacci_basic,unknown,gpt-4,0.0,10,2025-10-23T14:50:38.871107,0.600,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
fibonacci_basic_temp0.2_20251023_145105,unknown,fibonacci_basic,unknown,gpt-4,0.2,10,2025-10-23T14:51:05.726340,0.700,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
fibonacci_basic_temp0.3_20251023_145130,unknown,fibonacci_basic,unknown,gpt-4,0.3,10,2025-10-23T14:51:30.136624,0.700,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
fibonacci_basic_temp0.5_20251023_145158,unknown,fibonacci_basic,unknown,gpt-4,0.5,10,2025-10-23T14:51:58.747603,0.600,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
fibonacci_basic_temp0.7_20251023_145219,unknown,fibonacci_basic,unknown,gpt-4,0.7,10,2025-10-23T14:52:19.400285,0.500,0.900,1.000,0.100,0.900,0.900,1.000,1.000,1.000,1.000,1.000,1.000,0.015,0.045,0.000,0.000,0.015,0.100,0.100,0.000,0.000,1.000,1.000,1.000,1.000,,
