ts,prompt_id,run_id,model,temperature,raw_hash,canon_signature,oracle_pass,structural_ok,canonicalization_ok,contract_pass,notes,metrics_version
1756306687,anchor_fib_v1,1,gpt-4o-mini,0.0,74f377ebb47690efdec7771bccdc3c9ba35aa794a98ada8561c2a6ed1552f4ec,264b0788900cfa1aaa31812bcb1c5c2b75b7b625aac921edcd01da789dd2e079,1,1,1,1,,2025-08-26
1756306688,anchor_fib_v1,2,gpt-4o-mini,0.0,74f377ebb47690efdec7771bccdc3c9ba35aa794a98ada8561c2a6ed1552f4ec,264b0788900cfa1aaa31812bcb1c5c2b75b7b625aac921edcd01da789dd2e079,1,1,1,1,,2025-08-26
1756306690,anchor_fib_v1,3,gpt-4o-mini,0.0,74f377ebb47690efdec7771bccdc3c9ba35aa794a98ada8561c2a6ed1552f4ec,264b0788900cfa1aaa31812bcb1c5c2b75b7b625aac921edcd01da789dd2e079,1,1,1,1,,2025-08-26
1756306692,anchor_fib_v1,4,gpt-4o-mini,0.0,74f377ebb47690efdec7771bccdc3c9ba35aa794a98ada8561c2a6ed1552f4ec,264b0788900cfa1aaa31812bcb1c5c2b75b7b625aac921edcd01da789dd2e079,1,1,1,1,,2025-08-26
1756306694,anchor_fib_v1,5,gpt-4o-mini,0.0,74f377ebb47690efdec7771bccdc3c9ba35aa794a98ada8561c2a6ed1552f4ec,264b0788900cfa1aaa31812bcb1c5c2b75b7b625aac921edcd01da789dd2e079,1,1,1,1,,2025-08-26
1756306697,slugify_v1,1,gpt-4o-mini,0.0,259dfb1e9089dedb5f5b5b6760fa82cbe204b81c8fb063ff1250aaad8a843a94,e20726e762cf894f99f2b393af113f1f3a5bf87491fc10d8526bc07e624c1913,0,1,1,0,,2025-08-26
1756306699,slugify_v1,2,gpt-4o-mini,0.0,259dfb1e9089dedb5f5b5b6760fa82cbe204b81c8fb063ff1250aaad8a843a94,e20726e762cf894f99f2b393af113f1f3a5bf87491fc10d8526bc07e624c1913,0,1,1,0,,2025-08-26
1756306702,slugify_v1,3,gpt-4o-mini,0.0,65cbacc5aac6569f09473fa966ae177e4bde6637378e1a77fb8b1b3132a7a3e0,65c12163316073ab5c25e14549226dee97022133dca36557e9d8346ab75a9ede,0,1,1,0,,2025-08-26
1756306704,slugify_v1,4,gpt-4o-mini,0.0,259dfb1e9089dedb5f5b5b6760fa82cbe204b81c8fb063ff1250aaad8a843a94,e20726e762cf894f99f2b393af113f1f3a5bf87491fc10d8526bc07e624c1913,0,1,1,0,,2025-08-26
1756306707,slugify_v1,5,gpt-4o-mini,0.0,259dfb1e9089dedb5f5b5b6760fa82cbe204b81c8fb063ff1250aaad8a843a94,e20726e762cf894f99f2b393af113f1f3a5bf87491fc10d8526bc07e624c1913,0,1,1,0,,2025-08-26
