experiment_id,repo_commit,contract_id,canon_id,model,decoding_temperature,runs,timestamp,R_raw,R_anchor_pre,R_anchor_post,Delta_rescue,R_repair_at_0.05_pre,R_repair_at_0.1_pre,R_repair_at_0.15_pre,R_repair_at_0.2_pre,R_repair_at_0.05_post,R_repair_at_0.1_post,R_repair_at_0.15_post,R_repair_at_0.2_post,mean_distance_pre,std_distance_pre,mean_distance_post,std_distance_post,Delta_mu,Delta_P_tau_0.05,Delta_P_tau_0.1,Delta_P_tau_0.15,Delta_P_tau_0.2,canon_coverage,rescue_rate,R_behavioral,R_structural,sweep_id,notes
slugify_temp0.0_20251023_145502,unknown,slugify,unknown,gpt-4,0.0,10,2025-10-23T14:55:02.127603,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,,
slugify_temp0.2_20251023_145521,unknown,slugify,unknown,gpt-4,0.2,10,2025-10-23T14:55:21.064412,0.700,0.700,0.900,0.200,0.700,0.700,0.900,1.000,0.900,0.900,0.900,1.000,0.037,0.058,0.015,0.046,0.021,0.200,0.200,0.000,0.000,1.000,0.667,1.000,0.900,,
slugify_temp0.3_20251023_145539,unknown,slugify,unknown,gpt-4,0.3,10,2025-10-23T14:55:39.129161,0.900,0.900,1.000,0.100,0.900,0.900,0.900,1.000,1.000,1.000,1.000,1.000,0.015,0.046,0.000,0.000,0.015,0.100,0.100,0.100,0.000,1.000,1.000,1.000,1.000,,
slugify_temp0.5_20251023_145558,unknown,slugify,unknown,gpt-4,0.5,10,2025-10-23T14:55:58.594745,0.700,0.700,1.000,0.300,0.700,0.700,0.700,1.000,1.000,1.000,1.000,1.000,0.046,0.071,0.000,0.000,0.046,0.300,0.300,0.300,0.000,1.000,1.000,1.000,1.000,,
slugify_temp0.7_20251023_145616,unknown,slugify,unknown,gpt-4,0.7,10,2025-10-23T14:56:16.461849,0.300,0.100,0.300,0.200,0.100,0.100,0.500,0.600,0.300,0.300,0.300,0.600,0.154,0.079,0.142,0.100,0.012,0.200,0.200,-0.200,0.000,1.000,0.222,1.000,0.300,,
